model_name,model_frequency,exceedance_prob,protected_exceedance_prob
random,0.00277842308374487,0,1.11847637295131e-05
rw,0.365918816223349,0.09116,0.0911609887331137
subjects_io_fixed_freq_srp1,0.002779091470413,0,1.11847637295131e-05
subjects_io_fixed_freq_std1,0.00277834801271326,0,1.11847637295131e-05
subjects_io_fixed_trans_srp1,0.00277893066350653,0,1.11847637295131e-05
subjects_io_fixed_trans_std1,0.00277874009981954,0,1.11847637295131e-05
subjects_io_jump_freq_srp1,0.577541808693806,0.90884,0.90874953315705
subjects_io_jump_freq_std1,0.037088765868931,0,1.11847637295131e-05
subjects_io_jump_trans_srp1,0.00277851653288563,0,1.11847637295131e-05
subjects_io_jump_trans_std1,0.00277855935083072,0,1.11847637295131e-05
