random,rw,subjects_io_fixed_freq_srp1,subjects_io_fixed_freq_std1,subjects_io_fixed_trans_srp1,subjects_io_fixed_trans_std1,subjects_io_jump_freq_srp1,subjects_io_jump_freq_std1,subjects_io_jump_trans_srp1,subjects_io_jump_trans_std1
6.1927086932061e-10,0.00232109053981494,8.31583539394502e-09,3.05917933804482e-09,1.70923525891946e-09,1.1745091734724e-09,0.0210828377434722,0.976593722128671,4.49961727103261e-08,2.28971383957065e-06
5.38077711257737e-15,7.29021781866804e-05,1.02036206115626e-08,3.02477673899277e-08,2.21357313590346e-08,2.47340156689433e-08,0.997781968271793,0.00214423044951477,2.65612452416087e-08,7.85218119685982e-07
1.42815215975056e-16,1.42813951299674e-10,7.54165577824118e-08,2.05907904635957e-09,9.26044797584872e-09,1.04525121886135e-07,0.999880069800023,0.000119737132749653,4.41530976139297e-10,1.22167534481419e-09
4.34979606727631e-30,9.67883706215859e-19,1.4778668870352e-07,9.76493414808661e-08,2.77434043901056e-06,4.28821490496279e-07,0.998053957365806,0.00193975832260478,2.83262663192355e-06,3.08699729949245e-09
1.20822771954015e-06,0.999998790913426,2.27492689320035e-16,2.69421028422783e-17,2.15290586699973e-17,4.53882315148036e-17,8.5802587922424e-10,8.27899175553886e-13,2.37381622849926e-17,2.30553372533085e-17
2.3652776130994e-06,0.999997609931045,1.73015818823909e-13,1.82403206843104e-15,2.91460952588285e-15,1.82881959542238e-14,2.46315734194413e-08,1.59561256888207e-10,2.09310082061115e-15,9.10702434021198e-15
1.41540899591202e-15,1.2184229288152e-08,5.83463814461851e-09,5.22971245162647e-11,2.75152526891105e-08,1.74460060417916e-08,0.9992230885729,0.000771408789707234,1.703754565448e-06,3.73585040252085e-06
1.59858474980343e-06,0.99999840141525,9.13825338603139e-36,1.67199790371986e-35,4.27096985537165e-35,1.30843121917586e-34,5.91602178386551e-29,6.03987488143406e-28,4.25620172744717e-36,3.58085024180712e-35
5.19593011442909e-06,0.999994615732247,4.71534527541834e-14,5.57203127115191e-14,3.99823424628483e-13,1.31011191178232e-13,1.86505178386399e-07,1.83105585466916e-09,4.21686718411927e-13,3.49304832243652e-13
2.67090268206995e-14,1.83873930076424e-08,9.66461055545429e-06,7.04712096895643e-08,3.13711503091969e-08,8.72674427067731e-07,0.999922392774512,6.69201544229042e-05,2.36128212554273e-08,5.94348195154097e-09
2.98771721644387e-06,0.999997012282755,7.45819767627109e-22,7.50814332869622e-22,9.96331831797134e-22,8.61905498643875e-22,2.90523562903527e-14,2.40476733063259e-17,1.05873004460621e-21,4.05024797979169e-22
3.60038136232995e-08,0.999999963995099,1.02087619632888e-18,3.57099828090417e-16,2.47543942409484e-19,4.39922615570652e-18,6.89658233160871e-13,3.97322541721147e-13,2.68533846992048e-19,3.00373862327734e-19
1.04646755893023e-15,2.49325384470225e-10,2.12291591062452e-08,1.63974264626276e-07,2.51939414089531e-08,2.11120956904431e-08,0.996045286417474,0.00395440501930078,2.43861944735202e-08,5.24182434024564e-08
8.96463521591951e-07,0.999999103536478,3.40000442154006e-29,2.80264058151517e-30,3.17989546409197e-30,1.90984121401101e-28,3.40083706861698e-24,1.78215523999021e-25,2.08472116600588e-30,2.5136525440802e-29
5.05415618501672e-11,6.91359444769684e-05,1.11409761781205e-07,1.01913569007522e-07,1.23855601420344e-08,1.05612263887605e-08,0.979623198536215,0.020306890689836,2.20103468208732e-07,3.18405344960196e-07
2.88263927376433e-26,6.10837813837548e-20,8.26876123997175e-06,5.0652667491021e-10,4.95009385101471e-08,3.95455084164046e-07,0.999980215734309,1.09872752148286e-05,7.72416927750588e-08,5.52499366669962e-09
7.60859016686237e-23,2.43676620275822e-17,5.7818609827515e-08,9.91736032419563e-08,4.5206959631421e-07,1.03929029346016e-06,0.999709584185674,0.000288158304019232,5.64900886183779e-07,4.425731780738e-08
2.2838320116829e-06,0.999997715881671,5.55547665133422e-17,1.00827137586078e-16,7.06487584712873e-17,7.33261026326491e-17,2.83285777812698e-10,3.03162652588009e-12,6.69397749088139e-17,1.40133125714053e-16
2.87242485297478e-20,1.4062110693492e-14,8.14822547916451e-08,1.94815945719815e-07,1.30421369010175e-07,1.8465509800664e-07,0.884270173317242,0.115728365214064,2.00299962675486e-07,6.6979405074115e-07
6.81282061107235e-08,0.999999802965847,4.03983407209782e-14,3.06710550152682e-14,2.65573724643564e-16,3.48078173800418e-14,1.28849017244886e-07,5.68233173883044e-11,1.0663390873544e-16,6.26718174341337e-17
1.58588088055365e-29,1.14097577695125e-23,7.8392427874521e-12,6.01697625886649e-12,4.21153607995168e-12,6.69398615905571e-12,0.999970017819782,2.99808125892702e-05,1.64927871165312e-11,1.32637406704825e-09
6.59832786803082e-16,9.53444502194806e-09,2.91061626927185e-06,1.05926751122076e-05,4.94650570383216e-08,1.98079534718141e-05,0.998834155824312,0.00113244005819575,1.86574581392216e-08,1.52156776328195e-08
4.15972905286978e-31,1.45285562059459e-25,6.39499293275341e-07,3.58475565827729e-10,2.11092765418564e-05,1.47582585255804e-07,0.999627101174432,0.000341240290225421,9.74548463293588e-06,1.63338139421118e-08
2.17259736273499e-11,0.000436875688293098,1.07490617041666e-07,9.57115241198597e-08,8.58313528466346e-07,9.42174312217554e-08,0.996950712070383,0.00261011212329868,9.83029051649836e-07,1.61334147186092e-07
8.2818294037025e-08,0.999999917171195,1.10912555752293e-18,1.0925452830908e-18,9.92538376149171e-19,1.13081561823854e-18,1.04775859132776e-11,3.31609124762153e-14,1.01944104967228e-18,1.41894648815364e-18
2.77514514931028e-06,0.999997224854851,3.37902839142081e-27,3.09484837735972e-26,3.89941324124024e-27,8.98719468644391e-27,2.92843015256059e-21,2.13778774808193e-21,1.72539147432103e-26,5.70983100001464e-24
9.27348063984815e-08,0.067448639662731,7.33464266805397e-09,1.5898333393883e-10,4.42173794042535e-09,1.0878175696848e-09,0.932502766456926,4.84696238983418e-05,1.36547156039728e-08,4.86374124809908e-09
7.0863304463876e-13,4.74171850015485e-07,4.28982651631043e-09,5.18026425568477e-09,1.29036392731688e-10,1.46234718735094e-07,0.999988712143145,1.06573352759662e-05,3.97831182337695e-10,1.17342880020724e-10
5.33013714912218e-15,1.20218541640549e-08,1.12575018441363e-07,6.02085763747021e-12,2.74936854026938e-07,7.97142853947303e-09,0.99521415820265,0.00478520302733646,4.85508208821741e-08,1.82708011568949e-07
1.31007708383726e-06,0.999998689922916,4.65150637160013e-25,2.37727467687384e-21,4.89211529754897e-25,2.29163105540741e-20,5.37636937019301e-19,2.10967918353997e-21,6.49964589211143e-26,2.86087637315586e-26
1.42103279703866e-28,3.98394652016999e-23,1.93853356246289e-05,7.00308576579738e-06,6.36951614742217e-06,6.37984757902187e-06,0.977406685364745,0.0225308434463195,5.8611665065035e-06,1.74722373119015e-05
6.40948559822474e-27,1.63592527417245e-21,1.71374184426878e-06,1.3375244171989e-06,1.53690727541166e-06,2.47884212984548e-06,0.969072091181822,0.0309187093640001,1.34441886109044e-06,7.88019650296758e-07
2.32463050257338e-06,0.999997675364175,8.16313481033052e-18,3.21371564103728e-17,8.41503706547476e-18,7.51212661115457e-18,5.17180201928331e-12,1.50556349140806e-13,4.93290749158437e-17,1.00939153991306e-17
4.94882631324922e-21,6.97793134330497e-15,3.4521610096123e-07,3.02473803265202e-07,3.03458600456337e-07,3.04269614915866e-07,0.965884188794846,0.0341140267138977,3.06815137297517e-07,2.22257992460799e-07
4.7517250002753e-09,0.00275168936818014,3.61395860938851e-06,4.27354421575511e-07,7.46155317938192e-06,2.17513048031692e-06,0.980481410081115,0.016749302954493,2.55406677873861e-06,1.36078101728758e-06
